[2026-01-26 15:03:37] [INFO] 📋 基准价格设置: $87,940.60
[2026-01-26 15:03:37] [INFO] 🚀 启动BTC 15分钟双向策略
[2026-01-26 15:03:37] [INFO] ============================================================
[2026-01-26 15:03:37] [INFO] 📊 策略参数:
[2026-01-26 15:03:37] [INFO]    交易时段: 0:00-24:00 (北京时间)
[2026-01-26 15:03:37] [INFO]    基准价格: $87,940.60 (入参设置)
[2026-01-26 15:03:37] [INFO]    价格阈值: ±$30 (缓冲: $30)
[2026-01-26 15:03:37] [INFO]    买入窗口: 区间开始5分钟后 至 结束前1分钟
[2026-01-26 15:03:37] [INFO]    卖出窗口: 无限制 (任何时间可卖出)
[2026-01-26 15:03:37] [INFO]    交易频次: 每15分钟区间最多1次交易 (严格限制)
[2026-01-26 15:03:37] [INFO]    入场概率: 60.0% (双向检测)
[2026-01-26 15:03:37] [INFO]    止盈概率: 90.0%
[2026-01-26 15:03:37] [INFO]    止损概率: 55.00000000000001%
[2026-01-26 15:03:37] [INFO]    特殊止盈: 85.0% + 30秒横盘
[2026-01-26 15:03:37] [INFO]    交易金额: $1.0
[2026-01-26 15:03:37] [INFO]    价格监控: 每分钟显示与基准价格差额
[2026-01-26 15:03:37] [INFO] ============================================================
[2026-01-26 15:03:37] [INFO] 🚀 启动BTC价格监控
[2026-01-26 15:03:37] [INFO] 📊 [15:03] BTC: $87,940.60 | 基准: $87,940.60 | 差额: ➡️$0.00 | 阈值$30: ❌ 不满足
[2026-01-26 15:03:37] [INFO] 📅 新的15分钟区间: 15:00-15:15
[2026-01-26 15:03:37] [INFO] 📊 区间开始价格: $87,940.60
[2026-01-26 15:03:37] [INFO] 📊 基准价格: $87,940.60
[2026-01-26 15:03:37] [INFO] 🆕 新区间可交易: 15:00-15:15
[2026-01-26 15:03:37] [INFO] 📈 今日已交易区间数: 0
[2026-01-26 15:03:37] [INFO] 🎯 开始执行BTC 15分钟双向策略
[2026-01-26 15:03:37] [INFO] 市场ID: 1263608
[2026-01-26 15:03:38] [INFO] 📊 市场: Bitcoin Up or Down - January 26, 2:00AM-2:15AM ET
[2026-01-26 15:03:38] [INFO] 🎲 YES Token: 46428331476381582584292294284285447776410443652090188261006495442337848325742 (Up)
[2026-01-26 15:03:38] [INFO] 🎲 NO Token: 30901674697727196324934997304678238595968036703088201150258097709080765530924 (Down)
[2026-01-26 15:03:59] [INFO] ⏳ 买入限制: 距离可入场时间还有 60 秒 (需等待5分钟)
[2026-01-26 15:04:00] [INFO] 📊 [15:04] BTC: $87,937.59 | 基准: $87,940.60 | 差额: ↘️$3.01 | 阈值$30: ❌ 不满足
[2026-01-26 15:04:01] [INFO] 📊 市场概率: YES=52.0% (0.520), NO=48.0% (0.480)
[2026-01-26 15:04:01] [INFO] ⏳ 买入限制: 距离可入场时间还有 58 秒 (需等待5分钟)
[2026-01-26 15:04:03] [INFO] 📊 市场概率: YES=47.0% (0.470), NO=53.0% (0.530)
[2026-01-26 15:04:03] [INFO] ⏳ 买入限制: 距离可入场时间还有 56 秒 (需等待5分钟)
[2026-01-26 15:04:05] [INFO] 📊 市场概率: YES=56.0% (0.560), NO=44.0% (0.440)
[2026-01-26 15:04:05] [INFO] ⏳ 买入限制: 距离可入场时间还有 55 秒 (需等待5分钟)
[2026-01-26 15:04:07] [INFO] 📊 市场概率: YES=42.0% (0.420), NO=58.0% (0.580)
[2026-01-26 15:04:07] [INFO] ⏳ 买入限制: 距离可入场时间还有 53 秒 (需等待5分钟)
[2026-01-26 15:04:08] [INFO] 📊 市场概率: YES=58.0% (0.580), NO=42.0% (0.420)
[2026-01-26 15:04:08] [INFO] ⏳ 买入限制: 距离可入场时间还有 51 秒 (需等待5分钟)
[2026-01-26 15:04:10] [INFO] 📊 市场概率: YES=42.0% (0.420), NO=58.0% (0.580)
[2026-01-26 15:04:10] [INFO] ⏳ 买入限制: 距离可入场时间还有 50 秒 (需等待5分钟)
[2026-01-26 15:04:11] [INFO] 📊 市场概率: YES=36.0% (0.360), NO=64.0% (0.640)
[2026-01-26 15:04:11] [INFO] ⏳ 买入限制: 距离可入场时间还有 48 秒 (需等待5分钟)
[2026-01-26 15:04:13] [INFO] 📊 市场概率: YES=35.0% (0.350), NO=65.0% (0.650)
[2026-01-26 15:04:13] [INFO] ⏳ 买入限制: 距离可入场时间还有 46 秒 (需等待5分钟)
[2026-01-26 15:04:15] [INFO] 📊 市场概率: YES=64.0% (0.640), NO=36.0% (0.360)
[2026-01-26 15:04:15] [INFO] ⏳ 买入限制: 距离可入场时间还有 44 秒 (需等待5分钟)
[2026-01-26 15:04:17] [INFO] 📊 市场概率: YES=64.0% (0.640), NO=36.0% (0.360)
[2026-01-26 15:04:17] [INFO] ⏳ 买入限制: 距离可入场时间还有 43 秒 (需等待5分钟)
[2026-01-26 15:04:19] [INFO] 📊 市场概率: YES=38.0% (0.380), NO=62.0% (0.620)
[2026-01-26 15:04:19] [INFO] ⏳ 买入限制: 距离可入场时间还有 41 秒 (需等待5分钟)
[2026-01-26 15:04:20] [INFO] 📊 市场概率: YES=62.0% (0.620), NO=38.0% (0.380)
[2026-01-26 15:04:20] [INFO] ⏳ 买入限制: 距离可入场时间还有 39 秒 (需等待5分钟)
[2026-01-26 15:04:22] [INFO] 📊 市场概率: YES=38.0% (0.380), NO=62.0% (0.620)
[2026-01-26 15:04:22] [INFO] ⏳ 买入限制: 距离可入场时间还有 38 秒 (需等待5分钟)
[2026-01-26 15:04:23] [INFO] 📊 市场概率: YES=38.0% (0.380), NO=62.0% (0.620)
[2026-01-26 15:04:23] [INFO] ⏳ 买入限制: 距离可入场时间还有 36 秒 (需等待5分钟)
[2026-01-26 15:04:25] [INFO] 📊 市场概率: YES=38.0% (0.380), NO=62.0% (0.620)
[2026-01-26 15:04:25] [INFO] ⏳ 买入限制: 距离可入场时间还有 34 秒 (需等待5分钟)
[2026-01-26 15:04:27] [INFO] 📊 市场概率: YES=63.0% (0.630), NO=37.0% (0.370)
[2026-01-26 15:04:27] [INFO] ⏳ 买入限制: 距离可入场时间还有 33 秒 (需等待5分钟)
[2026-01-26 15:04:28] [INFO] 📊 市场概率: YES=65.0% (0.650), NO=35.0% (0.350)
[2026-01-26 15:04:28] [INFO] ⏳ 买入限制: 距离可入场时间还有 31 秒 (需等待5分钟)
[2026-01-26 15:04:30] [INFO] 📊 市场概率: YES=32.0% (0.320), NO=68.0% (0.680)
[2026-01-26 15:04:30] [INFO] ⏳ 买入限制: 距离可入场时间还有 29 秒 (需等待5分钟)
[2026-01-26 15:04:32] [INFO] 📊 市场概率: YES=32.0% (0.320), NO=68.0% (0.680)
[2026-01-26 15:04:32] [INFO] ⏳ 买入限制: 距离可入场时间还有 28 秒 (需等待5分钟)
[2026-01-26 15:04:33] [INFO] 📊 市场概率: YES=28.0% (0.280), NO=72.0% (0.720)
[2026-01-26 15:04:33] [INFO] ⏳ 买入限制: 距离可入场时间还有 26 秒 (需等待5分钟)
[2026-01-26 15:04:35] [INFO] 📊 市场概率: YES=25.0% (0.250), NO=75.0% (0.750)
[2026-01-26 15:04:35] [INFO] ⏳ 买入限制: 距离可入场时间还有 25 秒 (需等待5分钟)
[2026-01-26 15:04:37] [INFO] 📊 市场概率: YES=75.0% (0.750), NO=25.0% (0.250)
[2026-01-26 15:04:37] [INFO] ⏳ 买入限制: 距离可入场时间还有 23 秒 (需等待5分钟)
[2026-01-26 15:04:38] [INFO] 📊 市场概率: YES=24.0% (0.240), NO=76.0% (0.760)
[2026-01-26 15:04:38] [INFO] ⏳ 买入限制: 距离可入场时间还有 21 秒 (需等待5分钟)
[2026-01-26 15:04:40] [INFO] 📊 市场概率: YES=76.0% (0.760), NO=24.0% (0.240)
[2026-01-26 15:04:40] [INFO] ⏳ 买入限制: 距离可入场时间还有 20 秒 (需等待5分钟)
[2026-01-26 15:04:42] [INFO] 📊 市场概率: YES=22.0% (0.220), NO=78.0% (0.780)
[2026-01-26 15:04:42] [INFO] ⏳ 买入限制: 距离可入场时间还有 18 秒 (需等待5分钟)
[2026-01-26 15:04:44] [INFO] 📊 市场概率: YES=21.0% (0.210), NO=79.0% (0.790)
[2026-01-26 15:04:44] [INFO] ⏳ 买入限制: 距离可入场时间还有 16 秒 (需等待5分钟)
[2026-01-26 15:04:45] [INFO] 📊 市场概率: YES=78.0% (0.780), NO=22.0% (0.220)
[2026-01-26 15:04:45] [INFO] ⏳ 买入限制: 距离可入场时间还有 14 秒 (需等待5分钟)
[2026-01-26 15:04:47] [INFO] 📊 市场概率: YES=23.0% (0.230), NO=77.0% (0.770)
[2026-01-26 15:04:47] [INFO] ⏳ 买入限制: 距离可入场时间还有 13 秒 (需等待5分钟)
[2026-01-26 15:04:48] [INFO] 📊 市场概率: YES=23.0% (0.230), NO=77.0% (0.770)
[2026-01-26 15:04:48] [INFO] ⏳ 买入限制: 距离可入场时间还有 11 秒 (需等待5分钟)
[2026-01-26 15:04:50] [INFO] 📊 市场概率: YES=22.0% (0.220), NO=78.0% (0.780)
[2026-01-26 15:04:50] [INFO] ⏳ 买入限制: 距离可入场时间还有 10 秒 (需等待5分钟)
[2026-01-26 15:04:50] [INFO] 🛑 停止BTC 15分钟策略
[2026-01-26 15:04:50] [INFO] 🛑 停止BTC 15分钟策略
