id,question,event_id,market_type,outcome_prices,volume,liquidity,active,closed,created_at,last_trade_price,spread
market_event_008_001,Market question 1 for event event_008,event_008,Categorical,"['0.705', '0.295']",3503861,53426,True,False,2025-04-15T13:43:24.896235,0.705,0.041
market_event_008_002,Market question 2 for event event_008,event_008,Categorical,"['0.177', '0.823']",4494874,409809,True,False,2025-06-01T13:43:24.896238,0.177,0.0646
market_event_008_003,Market question 3 for event event_008,event_008,Categorical,"['0.505', '0.495']",4487239,296360,True,False,2025-12-17T13:43:24.896241,0.505,0.001
market_event_008_004,Market question 4 for event event_008,event_008,Yes/No,"['0.432', '0.568']",1616284,428437,True,False,2025-09-11T13:43:24.896244,0.432,0.0136
market_event_008_005,Market question 5 for event event_008,event_008,Yes/No,"['0.279', '0.721']",173327,436161,True,False,2025-05-10T13:43:24.896247,0.279,0.0442
market_event_008_006,Market question 6 for event event_008,event_008,Multiple Choice,"['0.388', '0.612']",1929840,321631,True,False,2025-04-12T13:43:24.896250,0.388,0.0224
market_event_008_007,Market question 7 for event event_008,event_008,Scalar,"['0.364', '0.636']",1556572,417138,True,False,2025-10-08T13:43:24.896254,0.364,0.0272
market_event_008_008,Market question 8 for event event_008,event_008,Categorical,"['0.221', '0.779']",985702,939003,True,False,2025-07-03T13:43:24.896257,0.221,0.0558
market_event_017_001,Market question 1 for event event_017,event_017,Scalar,"['0.386', '0.614']",1671570,269934,True,False,2026-01-09T13:43:24.896499,0.386,0.0228
market_event_017_002,Market question 2 for event event_017,event_017,Categorical,"['0.28', '0.72']",3537155,93724,True,False,2025-02-07T13:43:24.896502,0.28,0.044
market_event_017_003,Market question 3 for event event_017,event_017,Categorical,"['0.658', '0.342']",4021083,208779,True,False,2025-06-25T13:43:24.896505,0.658,0.0316
market_event_017_004,Market question 4 for event event_017,event_017,Categorical,"['0.374', '0.626']",4857465,399661,True,False,2025-10-19T13:43:24.896508,0.374,0.0252
market_event_018_001,Market question 1 for event event_018,event_018,Yes/No,"['0.605', '0.395']",4882732,966323,True,False,2025-05-03T13:43:24.896512,0.605,0.021
market_event_018_002,Market question 2 for event event_018,event_018,Categorical,"['0.736', '0.264']",547102,104187,True,False,2025-11-05T13:43:24.896515,0.736,0.0472
market_event_018_003,Market question 3 for event event_018,event_018,Yes/No,"['0.502', '0.498']",3282257,457388,True,False,2025-03-11T13:43:24.896518,0.502,0.0004
market_event_023_001,Market question 1 for event event_023,event_023,Multiple Choice,"['0.252', '0.748']",2439272,462217,True,False,2025-12-06T13:43:24.896580,0.252,0.0496
market_event_023_002,Market question 2 for event event_023,event_023,Scalar,"['0.355', '0.645']",480708,357229,True,False,2025-03-21T13:43:24.896583,0.355,0.029
market_event_023_003,Market question 3 for event event_023,event_023,Categorical,"['0.281', '0.719']",1890515,108068,True,False,2025-08-07T13:43:24.896587,0.281,0.0438
market_event_023_004,Market question 4 for event event_023,event_023,Scalar,"['0.568', '0.432']",4433745,423021,True,False,2025-04-20T13:43:24.896591,0.568,0.0136
market_event_023_005,Market question 5 for event event_023,event_023,Multiple Choice,"['0.587', '0.413']",3758601,452015,True,False,2025-05-16T13:43:24.896630,0.587,0.0174
market_event_023_006,Market question 6 for event event_023,event_023,Categorical,"['0.132', '0.868']",2091988,215502,True,False,2025-09-15T13:43:24.896647,0.132,0.0736
market_event_023_007,Market question 7 for event event_023,event_023,Scalar,"['0.745', '0.255']",2270514,337525,True,False,2025-07-19T13:43:24.896650,0.745,0.049
market_event_023_008,Market question 8 for event event_023,event_023,Yes/No,"['0.471', '0.529']",2646163,668109,True,False,2025-10-21T13:43:24.896653,0.471,0.0058
market_event_024_001,Market question 1 for event event_024,event_024,Multiple Choice,"['0.389', '0.611']",3677489,241562,True,False,2025-12-27T13:43:24.896657,0.389,0.0222
market_event_024_002,Market question 2 for event event_024,event_024,Multiple Choice,"['0.318', '0.682']",2032553,125965,True,False,2025-07-06T13:43:24.896660,0.318,0.0364
market_event_024_003,Market question 3 for event event_024,event_024,Categorical,"['0.557', '0.443']",476399,662963,True,False,2025-01-14T13:43:24.896662,0.557,0.0114
market_event_024_004,Market question 4 for event event_024,event_024,Scalar,"['0.623', '0.377']",3630240,960048,True,False,2025-04-16T13:43:24.896666,0.623,0.0246
market_event_024_005,Market question 5 for event event_024,event_024,Yes/No,"['0.187', '0.813']",1900730,599635,True,False,2025-04-16T13:43:24.896669,0.187,0.0626
market_event_025_001,Market question 1 for event event_025,event_025,Yes/No,"['0.662', '0.338']",2208782,93547,True,False,2025-09-06T13:43:24.896672,0.662,0.0324
market_event_025_002,Market question 2 for event event_025,event_025,Scalar,"['0.65', '0.35']",1448326,171146,True,False,2025-07-18T13:43:24.896675,0.65,0.03
market_event_025_003,Market question 3 for event event_025,event_025,Yes/No,"['0.312', '0.688']",1358815,717730,True,False,2025-08-31T13:43:24.896758,0.312,0.0376
market_event_025_004,Market question 4 for event event_025,event_025,Scalar,"['0.677', '0.323']",1853410,592049,True,False,2025-09-28T13:43:24.896820,0.677,0.0354
market_event_025_005,Market question 5 for event event_025,event_025,Multiple Choice,"['0.765', '0.235']",2844639,749876,True,False,2025-12-22T13:43:24.896824,0.765,0.053
market_event_025_006,Market question 6 for event event_025,event_025,Yes/No,"['0.15', '0.85']",3264091,119683,True,False,2025-11-07T13:43:24.896860,0.15,0.07
